Valor_Aluguel;Valor_Condominio;Metragem;N_Quartos;N_banheiros;N_Suites;N_Vagas
480;295;48;2;2;1;1
500;0;50;1;2;1;1
500;0;40;1;2;1;1
500;36;45;1;2;1;0
500;0;30;1;1;0;0
500;380;66;2;1;0;1
550;100;48;2;2;1;1
600;110;46;2;2;1;1
600;100;49;2;2;1;1
600;325;50;2;2;1;1
600;0;90;1;2;1;1
600;600;35;1;2;1;1
600;250;48;2;2;1;1
600;742;52;2;1;0;1
610;25;38;1;2;1;1
628;172;52;2;2;1;1
630;220;41;2;2;1;1
630;600;45;1;1;0;0
650;170;60;2;2;1;1
650;75;43;2;2;1;1
650;190;45;1;2;1;1
650;190;48;2;2;1;1
650;0;40;1;2;1;1
650;302;45;2;2;1;1
650;0;38;1;2;1;1
650;100;44;2;2;1;1
650;0;30;2;2;1;1
650;100;44;2;1;0;1
650;0;48;2;2;1;1
650;200;50;2;2;1;1
650;100;30;2;1;0;1
660;240;41;2;2;1;1
660;240;42;2;2;1;1
660;240;42;2;2;1;1
670;168;38;2;1;0;1
700;0;30;1;2;1;1
700;250;47;2;2;1;1
700;0;48;2;2;1;1
700;0;48;2;2;1;1
700;250;45;2;2;1;1
700;0;48;2;2;1;1
700;150;46;2;2;1;1
700;182;38;2;2;1;1
700;160;50;2;2;1;1
700;140;52;2;2;1;1
700;290;56;2;2;1;1
700;283;56;2;2;1;1
700;0;44;2;2;1;1
700;412;54;2;2;1;1
700;412;54;2;2;1;1
700;412;54;2;2;1;1
700;178;50;2;2;1;1
700;300;42;2;2;1;1
700;0;62;2;2;1;1
700;500;54;2;1;0;1
700;200;48;2;2;1;1
700;230;50;2;1;0;1
700;711;60;2;1;0;1
700;100;60;1;1;0;1
700;410;50;2;1;0;1
700;234;53;2;1;0;1
700;400;50;2;1;0;1
700;80;30;1;1;0;0
700;452;39;1;1;0;1
700;0;40;1;1;0;0
700;0;48;2;2;1;1
700;250;43;2;2;1;1
720;180;40;2;2;1;1
730;270;50;2;2;1;1
750;50;45;2;2;1;1
750;0;48;2;2;1;1
750;0;50;2;2;1;1
750;0;48;2;2;1;1
750;190;40;1;2;1;1
750;115;48;2;2;1;1
750;0;40;1;2;1;1
750;269;51;2;2;1;1
750;0;44;2;2;1;1
750;337;34;1;2;1;1
750;0;32;1;2;1;1
750;250;50;2;2;1;1
750;367;56;1;1;0;0
750;106;48;2;1;0;1
750;400;47;2;1;0;1
750;0;35;1;1;0;0
750;250;50;2;1;0;1
750;600;60;2;1;0;1
750;90;70;2;2;1;1
750;300;42;2;1;0;0
750;480;52;2;2;1;1
750;382;56;1;2;1;1
750;453;56;1;2;1;1
750;0;45;1;2;1;1
750;0;60;1;2;1;1
750;106;48;2;2;1;1
750;159;41;2;2;1;1
750;0;50;2;2;1;1
750;0;40;1;2;1;1
750;0;44;2;1;0;1
760;160;38;2;2;1;1
760;250;45;2;2;1;1
770;340;47;2;1;0;1
780;320;50;2;2;1;1
780;350;47;2;2;1;1
780;350;47;2;2;1;1
780;350;47;2;1;0;1
780;0;35;1;1;0;0
780;220;54;2;2;1;1
785;415;52;2;2;1;1
785;415;48;2;1;0;1
790;314;43;1;1;0;0
790;118;58;2;1;0;1
790;294;42;1;2;1;1
790;60;30;1;2;1;1
800;150;48;2;2;1;1
800;0;40;1;2;1;1
800;50;46;2;2;1;1
800;520;55;2;2;1;1
800;160;38;2;2;1;1
800;100;35;2;2;1;1
800;220;60;2;2;1;1
800;220;60;2;2;1;1
800;200;56;2;2;1;1
800;150;48;2;2;1;1
800;100;45;2;2;1;1
800;110;48;2;2;1;1
800;200;60;2;2;1;1
800;330;65;2;2;1;1
800;0;45;2;2;1;1
800;0;45;2;2;1;1
800;100;49;2;2;1;1
800;0;40;2;2;1;1
800;315;40;1;2;1;1
800;0;35;1;2;1;1
800;496;55;2;2;1;1
800;398;50;2;2;1;1
800;110;45;2;2;1;1
800;480;40;2;1;0;1
800;377;38;1;1;0;0
800;580;57;1;1;0;1
800;230;48;1;1;0;0
800;230;48;1;1;0;0
800;299;65;2;1;0;1
800;130;48;2;1;0;1
800;230;48;2;1;0;1
800;140;48;2;1;0;1
800;150;48;2;1;0;1
800;388;55;2;2;1;1
800;420;46;2;1;0;1
800;0;34;1;1;0;0
800;0;34;1;1;0;0
800;675;52;2;1;0;1
800;398;50;2;1;0;1
800;0;30;1;1;0;0
800;380;65;2;1;0;1
800;482;55;2;2;1;1
800;0;50;1;2;1;1
800;230;48;1;2;1;1
800;0;50;1;2;1;1
800;200;55;2;2;1;1
800;0;46;2;2;1;1
800;0;60;2;2;1;1
800;100;35;2;2;1;1
800;0;40;1;2;1;1
800;0;45;2;1;0;1
805;200;48;2;1;0;1
805;330;48;2;1;0;0
810;140;36;1;2;1;1
810;0;49;2;2;1;1
825;275;53;2;1;0;1
830;340;50;2;2;1;1
830;120;56;2;1;0;1
